team_id,season_year,defense_int,fumbles_rcv,takeaways,passing_ints,fumbles_lost,giveaways,passing_tds,passing_yds,rushing_tds,rushing_yds,home_wins,away_wins,ties,total_wins
PIT,2013,10,6,16,14,10,24,28,4192,9,1373,5,3,0,8
PIT,2014,11,5,16,10,11,21,33,4997,10,1752,6,5,0,11
PIT,2015,17,9,26,21,6,27,26,4817,16,1724,6,4,0,10
PIT,2016,13,8,21,15,3,18,33,4377,13,1772,6,5,0,11
PIT,2017,8,2,10,12,4,16,16,2693,5,1080,6,7,0,13
SD,2009,14,5,19,10,7,17,29,4506,17,1423,6,7,0,13
SD,2010,16,9,25,13,16,29,30,4746,18,1810,6,3,0,9
SD,2011,17,10,27,20,8,28,27,4624,16,1866,5,3,0,8
SD,2012,14,11,25,15,11,26,26,3607,4,1461,3,4,0,7
SD,2013,11,4,15,11,10,21,32,4478,9,1961,5,4,0,9
SD,2014,7,10,17,18,5,23,31,4296,6,1370,5,4,0,9
SD,2015,11,5,16,13,11,24,30,4856,4,1357,3,1,0,4
SD,2016,16,6,22,21,14,35,33,4390,10,1510,3,2,0,5
SEA,2009,13,18,31,19,12,31,20,3771,7,1566,4,1,0,5
SEA,2010,12,6,18,20,11,31,14,3533,13,1424,5,2,0,7
SEA,2011,22,12,34,14,9,23,15,3444,15,1755,4,3,0,7
SEA,2012,18,7,25,10,8,18,27,3227,16,2579,8,3,0,11
SEA,2013,28,12,40,9,10,19,27,3508,14,2188,7,6,0,13
SEA,2014,13,13,26,7,7,14,20,3492,20,2762,7,5,0,12
SEA,2015,14,6,20,8,8,16,34,4059,10,2269,5,5,0,10
SEA,2016,11,13,24,12,7,19,23,4422,13,1588,7,3,1,10.5
SEA,2017,9,8,17,8,2,10,21,2771,3,996,4,5,0,9
SF,2009,18,9,27,14,10,24,23,3293,12,1600,6,2,0,8
SF,2010,15,12,27,15,8,23,19,3613,10,1657,5,1,0,6
SF,2011,23,7,30,5,5,10,18,3199,14,2038,7,6,0,13
SF,2012,14,14,28,8,8,16,23,3546,17,2491,6,5,1,11.5
SF,2013,18,7,25,8,10,18,21,3210,18,2201,6,6,0,12
SF,2014,23,6,29,10,13,23,20,3407,10,2175,4,4,0,8
SF,2015,9,12,21,12,5,17,16,3646,7,1544,4,1,0,5
SF,2016,10,11,21,10,15,25,21,3166,15,2019,1,1,0,2
SF,2017,7,5,12,10,7,17,9,2693,9,1099,3,3,0,6
STL,2009,8,10,18,21,12,33,12,2962,4,1792,0,1,0,1
STL,2010,14,7,21,15,6,21,18,3512,9,1578,5,2,0,7
STL,2011,12,11,23,10,13,23,9,3251,7,1674,1,1,0,2
STL,2012,17,11,28,14,8,22,22,3783,5,1715,4,3,1,7.5
STL,2013,14,6,20,11,10,21,22,3360,10,1752,5,2,0,7
STL,2014,13,15,28,16,11,27,20,3692,11,1631,3,3,0,6
STL,2015,13,9,22,11,11,22,11,2931,16,1958,5,2,0,7
TB,2009,19,18,37,29,5,34,18,3136,5,1626,1,2,0,3
TB,2010,19,10,29,6,13,19,26,3564,9,2001,4,6,0,10
TB,2011,14,12,26,24,16,40,17,3836,9,1458,3,1,0,4
TB,2012,18,9,27,17,6,23,27,4144,13,1833,3,4,0,7
TB,2013,21,8,29,12,8,20,22,3181,6,1612,3,1,0,4
TB,2014,14,13,27,20,13,33,21,3623,7,1375,0,2,0,2
TB,2015,11,13,24,15,13,28,22,4044,12,2159,3,3,0,6
TB,2016,17,8,25,18,9,27,29,4165,7,1396,4,5,0,9
TB,2017,6,10,16,9,5,14,15,2748,5,837,4,1,0,5
TEN,2009,20,11,31,15,16,31,16,3104,19,2592,5,3,0,8
TEN,2010,17,7,24,15,14,29,24,3278,13,1727,3,3,0,6
TEN,2011,11,8,19,14,8,22,22,4113,8,1438,5,4,0,9
TEN,2012,19,6,25,16,12,28,17,3571,10,1687,4,2,0,6
TEN,2013,13,17,30,16,9,25,22,3710,16,1894,3,4,0,7
TEN,2014,12,13,25,16,10,26,20,3738,6,1447,1,1,0,2
TEN,2015,11,9,20,17,16,33,25,3893,10,1485,1,2,0,3
TEN,2016,12,7,19,11,7,18,29,3720,16,2195,5,4,0,9
TEN,2017,9,0,9,10,5,15,9,2129,13,1215,6,3,0,9
WAS,2009,11,12,23,16,12,28,21,3797,8,1508,3,1,0,4
WAS,2010,14,13,27,19,12,31,21,4261,9,1461,2,4,0,6
WAS,2011,13,13,26,24,11,35,19,4055,8,1614,2,3,0,5
WAS,2012,21,17,38,8,6,14,24,3677,22,2713,5,5,0,10
WAS,2013,16,15,31,19,15,34,20,4065,14,2150,2,1,0,3
WAS,2014,7,16,23,18,13,31,18,4461,15,1685,3,1,0,4
WAS,2015,11,8,19,11,11,22,30,4294,9,1582,6,3,0,9
WAS,2016,13,9,22,12,9,21,25,4948,16,1618,4,4,1,8.5
WAS,2017,11,9,20,6,10,16,16,2716,8,974,5,2,0,7
